,Species,Region,Site,ID,Sample.Plate,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
77,Pseu,Miami offshore,Rainbow Reef,urban_109,Sample 8_UrbanPopgen_Plate21_7-10-23_data.csv,22-Oct,Fall,Wet,Sample 8,UrbanPopgen_Plate21_7-10-23_data.csv,1,0.647654081,0.352119642,0,0.000226277,A,AB,D
78,Pseu,Miami offshore,Rainbow Reef,urban_110,Sample 9_UrbanPopgen_Plate21_7-10-23_data.csv,22-Oct,Fall,Wet,Sample 9,UrbanPopgen_Plate21_7-10-23_data.csv,1,0.948719243,0.051215452,3.99E-05,2.55E-05,A,A,BCD
79,Pseu,Miami offshore,Rainbow Reef,urban_317,Sample 2_UrbanPopgen_Plate22_7-10-23_data.csv,23-Jun,Summer,Wet,Sample 2,UrbanPopgen_Plate22_7-10-23_data.csv,1,0.625186232,0.015919707,0.00015945,0.358734612,A,AD,BC
80,Pseu,Miami urban,MacArthur North,UR3 rex,Sample 2_UrbanPopgen_Plate26_7-11-23_data.csv,22-Jun,Summer,Wet,Sample 2,UrbanPopgen_Plate26_7-11-23_data.csv,1,0.000111226,0.999847205,0,4.16E-05,B,B,AD
81,Pseu,Miami urban,MacArthur North,nmfs_027,Sample 8_UrbanPopgen_Plate24_7-11-23_data.csv,21-Jan,Winter,Dry,Sample 8,UrbanPopgen_Plate24_7-11-23_data.csv,2,1,0,0,1,A,AD,
82,Pseu,Miami urban,MacArthur North,urban_123,Sample 11_UrbanPopgen_Plate26_7-11-23_data.csv,22-Oct,Fall,Wet,Sample 11,UrbanPopgen_Plate26_7-11-23_data.csv,1,0.326530172,0,0,0.673469828,D,DA,
83,Pseu,Miami urban,MacArthur North,urban_125,Sample 2_UrbanPopgen_Plate27_7-13-23_data.csv,22-Oct,Fall,Wet,Sample 2,UrbanPopgen_Plate27_7-13-23_data.csv,1,0.381493108,0.00232864,9.03E-05,0.616087953,D,DA,BC
84,Pseu,Miami urban,MacArthur North,urban_127,Sample 4_UrbanPopgen_Plate27_7-13-23_data.csv,22-Oct,Fall,Wet,Sample 4,UrbanPopgen_Plate27_7-13-23_data.csv,1,0.540408662,0,0,0.459591338,A,AD,
85,Pseu,Miami urban,Star Island,UR21,Sample 12_UrbanPopgen_Plate27_7-13-23_data.csv,22-Jun,Summer,Wet,Sample 12,UrbanPopgen_Plate27_7-13-23_data.csv,2,1,0.021669008,0,0.978330992,A,AD,B
86,Pseu,Miami urban,Star Island,UR23 rex2,Sample 2_UrbanPopgen_Plate28_7-13-23_data.csv,22-Jun,Summer,Wet,Sample 2,UrbanPopgen_Plate28_7-13-23_data.csv,2,0.170267918,0.829732082,1,0,C,CAB,
87,Pseu,Miami urban,Star Island,UR25 rex,Sample 4_UrbanPopgen_Plate28_7-13-23_data.csv,22-Jun,Summer,Wet,Sample 4,UrbanPopgen_Plate28_7-13-23_data.csv,2,1,0.999995138,4.86E-06,0,A,AB,C
88,Pseu,Miami urban,Star Island,urban_018,Sample 5_UrbanPopgen_Plate29_7-13-23_data.csv,22-Jul,Summer,Wet,Sample 5,UrbanPopgen_Plate29_7-13-23_data.csv,1,0.106622553,0,0.000347981,0.893029466,D,DA,C
89,Pseu,Miami urban,Star Island,urban_022,Sample 6_UrbanPopgen_Plate29_7-13-23_data.csv,22-Jul,Summer,Wet,Sample 6,UrbanPopgen_Plate29_7-13-23_data.csv,2,0.342593586,0.654917356,1,0.002489057,C,CAB,D
90,Pseu,Miami urban,Star Island,urban_027,Sample 9_UrbanPopgen_Plate29_7-13-23_data.csv,22-Jul,Summer,Wet,Sample 9,UrbanPopgen_Plate29_7-13-23_data.csv,2,0.349334189,0.646436838,1,0.004228973,C,CAB,D
91,Pseu,Miami urban,Star Island,urban_040,Sample 7_UrbanPopgen_Plate30_7-13-23_data.csv,22-Jul,Summer,Wet,Sample 7,UrbanPopgen_Plate30_7-13-23_data.csv,1,0.200546493,0.799453507,0,0,B,BA,
92,Pseu,Miami urban,Star Island,urban_155,Sample 1_UrbanPopgen_Plate31_7-13-23_data.csv,22-Oct,Fall,Wet,Sample 1,UrbanPopgen_Plate31_7-13-23_data.csv,1,0.280918979,0.0129517,0,0.706129322,D,DA,B
