Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G12,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,34.88190079,35.46147919,0.819650352,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
H1,,A,NTC,FAM,NFQ-MGB,30.97688484,,,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
H2,,B,NTC,FAM,NFQ-MGB,35.85083389,,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
H3,,C,NTC,VIC,NFQ-MGB,35.09212494,,,,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
H3,,D,NTC,FAM,NFQ-MGB,31.60602379,,,,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
H4,Sample 14,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H5,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,26.40110588,26.66764069,0.376938492,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,36.00596619,36.00596619,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
H7,Sample 14,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
H8,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,26.9341774,26.66764069,0.376938492,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
H9,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H9,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.00596619,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H10,+++,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,32.72891998,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H11,+++,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.60838318,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H12,+++,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.67573166,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H12,+++,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,31.79156303,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
